caldt,totval,totcnt,spindx
20030902,9330117580.00,500,1021.99
20030903,9368514100.00,500,1026.27
20030904,9383351570.00,500,1027.97
20030905,9323980070.00,500,1021.39
20030908,9417590670.00,500,1031.64
20030909,9337588720.00,500,1023.17
20030910,9227726490.00,500,1010.92
20030911,9277669860.00,500,1016.42
20030912,9298472910.00,500,1018.63
20030915,9264369210.00,500,1014.81
20030916,9395126680.00,500,1029.32
20030917,9364460860.00,500,1025.97
20030918,9489160240.00,500,1039.58
20030919,9461003550.00,500,1036.30
20030922,9335549950.00,500,1022.82
20030923,9391360880.00,500,1029.03
20030924,9213977570.00,500,1009.38
20030925,9159284400.00,500,1003.27
20030926,9104495230.00,500,996.85
20030929,9191448860.00,500,1006.58
20030930,9132049160.00,500,995.97
20031001,9332606770.00,500,1018.22
20031002,9354116060.00,500,1020.24
20031003,9441139250.00,500,1029.85
20031006,9483256860.00,500,1034.35
20031007,9528915470.00,500,1039.25
20031008,9480631680.00,500,1033.78
20031009,9526560190.00,500,1038.73
20031010,9518494850.00,500,1038.06
20031013,9583335900.00,500,1045.35
20031014,9620719080.00,500,1049.48
20031015,9593821790.00,500,1046.76
20031016,9623568890.00,500,1050.07
20031017,9526072260.00,500,1039.32
20031020,9575311180.00,500,1044.68
20031021,9589365470.00,500,1046.03
20031022,9446555300.00,500,1030.36
20031023,9476885760.00,500,1033.77
20031024,9430751050.00,500,1028.91
20031027,9449996440.00,500,1031.13
20031028,9593223410.00,500,1046.79
20031029,9606526740.00,500,1048.11
20031030,9595187390.00,500,1046.94
20031031,9627940830.00,500,1050.71
20031103,9707655640.00,500,1059.02
20031104,9654528720.00,500,1053.25
20031105,9642871280.00,500,1051.81
20031106,9699460060.00,500,1058.05
20031107,9654780610.00,500,1053.21
20031110,9598565270.00,500,1047.11
20031111,9593925860.00,500,1046.57
20031112,9703658860.00,500,1058.56
20031113,9708588740.00,500,1058.41
20031114,9634592220.00,500,1050.35
20031117,9570275200.00,500,1043.63
20031118,9487040140.00,500,1034.15
20031119,9564566180.00,500,1042.44
20031120,9483763370.00,500,1033.65
20031121,9495892340.00,500,1035.28
20031124,9647661600.00,500,1052.08
20031125,9667402640.00,500,1053.89
20031126,9707247560.00,500,1058.45
20031128,9705385380.00,500,1058.20
20031201,9810595020.00,500,1070.12
20031202,9779496190.00,500,1066.62
20031203,9764494620.00,500,1064.73
20031204,9808614580.00,500,1069.72
20031205,9734029360.00,500,1061.50
20031208,9801110860.00,500,1069.30
20031209,9720274040.00,500,1060.18
20031210,9710022680.00,500,1059.05
20031211,9823053200.00,500,1071.21
20031212,9849352340.00,500,1074.14
20031215,9794700490.00,500,1068.04
20031216,9857008950.00,500,1075.13
20031217,9871139680.00,500,1076.48
20031218,9988449230.00,500,1089.18
20031219,9984967190.00,500,1088.67
20031222,10023406500.00,500,1092.94
20031223,10051719700.00,500,1096.02
20031224,10033836100.00,500,1094.04
20031226,10048747200.00,500,1095.89
20031229,10172390600.00,500,1109.48
20031230,10171754800.00,500,1109.64
20031231,10156561300.00,500,1111.92
20040102,10127443200.00,500,1108.48
20040105,10252609400.00,500,1122.22
20040106,10267793000.00,500,1123.67
20040107,10291658300.00,500,1126.33
20040108,10339371700.00,500,1131.92
20040109,10251747900.00,500,1121.86
20040112,10300607300.00,500,1127.23
20040113,10244595300.00,500,1121.22
20040114,10329088700.00,500,1130.52
20040115,10344462300.00,500,1132.05
20040116,10413861500.00,500,1139.83
20040120,10408367600.00,500,1138.77
20040121,10487223900.00,500,1147.62
20040122,10455231200.00,500,1143.94
20040123,10429982900.00,500,1141.55
20040126,10556997400.00,500,1155.37
20040127,10455374600.00,500,1144.05
20040128,10314877100.00,500,1128.48
20040129,10363945700.00,500,1134.11
20040130,10338496000.00,500,1131.13
20040202,10375497400.00,500,1135.26
20040203,10381814100.00,500,1136.03
20040204,10295801600.00,500,1126.52
20040205,10316674100.00,500,1128.59
20040206,10444457800.00,500,1142.76
20040209,10418514900.00,500,1139.81
20040210,10468720800.00,500,1145.54
20040211,10583824500.00,500,1157.76
20040212,10534117700.00,500,1152.11
20040213,10477577800.00,500,1145.81
20040217,10579048400.00,500,1156.99
20040218,10530984800.00,500,1151.82
20040219,10488957300.00,500,1147.06
20040220,10462178900.00,500,1144.11
20040223,10431905400.00,500,1140.99
20040224,10416119100.00,500,1139.09
20040225,10459202700.00,500,1143.67
20040226,10469145700.00,500,1144.91
20040227,10494719800.00,500,1144.94
20040301,10597072200.00,500,1155.96
20040302,10535958300.00,500,1149.10
20040303,10553304900.00,500,1151.04
20040304,10586360100.00,500,1154.88
20040305,10606946700.00,500,1156.87
20040308,10518573000.00,500,1147.21
20040309,10458104800.00,500,1140.58
20040310,10303618900.00,500,1123.89
20040311,10146935900.00,500,1106.78
20040312,10271913600.00,500,1120.57
20040315,10125583400.00,500,1104.49
20040316,10183402500.00,500,1110.70
20040317,10301962600.00,500,1123.75
20040318,10289411000.00,500,1122.32
20040319,10174843700.00,500,1109.78
20040322,10041955000.00,500,1095.40
20040323,10030347700.00,500,1093.95
20040324,10005892200.00,500,1091.33
20040325,10175880700.00,500,1109.19
20040326,10166539000.00,500,1108.06
20040329,10298251500.00,500,1122.47
20040330,10339450500.00,500,1127.00
20040331,10352709700.00,500,1126.21
20040401,10410716100.00,500,1132.17
20040402,10514763400.00,500,1141.81
20040405,10594493500.00,500,1150.57
20040406,10571751300.00,500,1148.16
20040407,10536370100.00,500,1140.53
20040408,10525011300.00,500,1139.32
20040412,10578682900.00,500,1145.20
20040413,10433087500.00,500,1129.44
20040414,10418650800.00,500,1128.17
20040415,10426978500.00,500,1128.84
20040416,10480085500.00,500,1134.61
20040419,10490409400.00,500,1135.82
20040420,10327999000.00,500,1118.15
20040421,10383062600.00,500,1124.09
20040422,10529479800.00,500,1139.93
20040423,10541269900.00,500,1140.60
20040426,10495641300.00,500,1135.53
20040427,10519544000.00,500,1138.11
20040428,10372219000.00,500,1122.41
20040429,10290151600.00,500,1113.89
20040430,10225312000.00,500,1107.30
20040503,10317709700.00,500,1117.49
20040504,10337731700.00,500,1119.55
20040505,10356477600.00,500,1121.53
20040506,10286920000.00,500,1113.99
20040507,10144981600.00,500,1098.70
20040510,10038599100.00,500,1087.12
20040511,10114090900.00,500,1095.45
20040512,10132593100.00,500,1097.28
20040513,10124467500.00,500,1096.44
20040514,10116912700.00,500,1095.70
20040517,10010956800.00,500,1084.10
20040518,10079945400.00,500,1091.49
20040519,10054024800.00,500,1088.68
20040520,10058130200.00,500,1089.19
20040521,10098538300.00,500,1093.56
20040524,10115080600.00,500,1095.41
20040525,10276956200.00,500,1113.05
20040526,10294532200.00,500,1114.94
20040527,10353609000.00,500,1121.28
20040528,10345264300.00,500,1120.68
20040601,10349943100.00,500,1121.20
20040602,10385515900.00,500,1124.99
20040603,10308420800.00,500,1116.64
20040604,10362929100.00,500,1122.50
20040607,10528267300.00,500,1140.42
20040608,10543191700.00,500,1142.18
20040609,10443233600.00,500,1131.33
20040610,10490267700.00,500,1136.47
20040614,10386894700.00,500,1125.29
20040615,10450857400.00,500,1132.01
20040616,10464441300.00,500,1133.56
20040617,10451250600.00,500,1132.05
20040618,10478065600.00,500,1135.02
20040621,10435965400.00,500,1130.30
20040622,10474274700.00,500,1134.41
20040623,10563116400.00,500,1144.06
20040624,10532200500.00,500,1140.65
20040625,10485124100.00,500,1134.43
20040628,10462086600.00,500,1133.35
20040629,10489049000.00,500,1136.20
20040630,10514279400.00,500,1140.84
20040701,10422289900.00,500,1128.94
20040702,10389136300.00,500,1125.38
20040706,10305406100.00,500,1116.21
20040707,10324061800.00,500,1118.33
20040708,10239042800.00,500,1109.11
20040709,10272853400.00,500,1112.81
20040712,10286411900.00,500,1114.35
20040713,10295081600.00,500,1115.14
20040714,10261268800.00,500,1111.47
20040715,10215307500.00,500,1106.69
20040716,10168035800.00,500,1101.39
20040719,10162207900.00,500,1100.90
20040720,10233514600.00,500,1108.67
20040721,10099474000.00,500,1093.88
20040722,10124320100.00,500,1096.84
20040723,10027152500.00,500,1086.20
20040726,10008771300.00,500,1084.06
20040727,10107444100.00,500,1094.83
20040728,10114310200.00,500,1095.42
20040729,10161255900.00,500,1100.43
20040730,10175588400.00,500,1101.72
20040802,10218167800.00,500,1106.62
20040803,10158986400.00,500,1099.69
20040804,10149764600.00,500,1098.63
20040805,9983960270.00,500,1080.70
20040806,9829603980.00,500,1063.97
20040809,9841401740.00,500,1065.22
20040810,9967749840.00,500,1079.04
20040811,9938574090.00,500,1075.79
20040812,9823213340.00,500,1063.23
20040813,9838592460.00,500,1064.80
20040816,9971358390.00,500,1079.34
20040817,9992756270.00,500,1081.71
20040818,10117547600.00,500,1095.17
20040819,10080895700.00,500,1091.23
20040820,10146850100.00,500,1098.35
20040823,10121226900.00,500,1095.68
20040824,10126276800.00,500,1096.19
20040825,10207333200.00,500,1104.96
20040826,10208276400.00,500,1105.09
20040827,10233194200.00,500,1107.77
20040830,10154662900.00,500,1099.15
20040831,10202644100.00,500,1104.24
20040901,10216288600.00,500,1105.91
20040902,10331374100.00,500,1118.31
20040903,10288735000.00,500,1113.63
20040907,10359267600.00,500,1121.30
20040908,10312715300.00,500,1116.27
20040909,10331269400.00,500,1118.38
20040910,10382551000.00,500,1123.92
20040913,10399143700.00,500,1125.82
20040914,10423038900.00,500,1128.33
20040915,10349248800.00,500,1120.37
20040916,10378093300.00,500,1123.50
20040917,10424847600.00,500,1128.55
20040920,10365552400.00,500,1122.20
20040921,10431299700.00,500,1129.30
20040922,10286931400.00,500,1113.56
20040923,10238868100.00,500,1108.36
20040924,10253132200.00,500,1110.11
20040927,10191458900.00,500,1103.52
20040928,10252290400.00,500,1110.06
20040929,10295706300.00,500,1114.80
20040930,10285563700.00,500,1114.58
20041001,10453903900.00,500,1131.50
20041004,10488715900.00,500,1135.17
20041005,10481890500.00,500,1134.48
20041006,10552010100.00,500,1142.05
20041007,10447098200.00,500,1130.65
20041008,10369080900.00,500,1122.14
20041011,10389586100.00,500,1124.39
20041012,10365272500.00,500,1121.84
20041013,10288870600.00,500,1113.65
20041014,10193289200.00,500,1103.29
20041015,10237979600.00,500,1108.20
20041018,10290716400.00,500,1114.02
20041019,10191275500.00,500,1103.23
20041020,10196130300.00,500,1103.66
20041021,10222696500.00,500,1106.49
20041022,10123216500.00,500,1095.74
20041025,10114436700.00,500,1094.81
20041026,10263310700.00,500,1111.09
20041027,10364276300.00,500,1125.40
20041028,10381595100.00,500,1127.44
20041029,10400365400.00,500,1130.20
20041101,10411086400.00,500,1130.51
20041102,10412129000.00,500,1130.54
20041103,10527107800.00,500,1143.20
20041104,10697859800.00,500,1161.67
20041105,10742346000.00,500,1166.17
20041108,10729887600.00,500,1164.89
20041109,10722912500.00,500,1164.08
20041110,10712219800.00,500,1162.91
