"Date","Price","Open","High","Low","Change %"
"Dec 13, 2017","-1.170","-1.170","-1.170","-1.170","17.00%"
"Dec 12, 2017","-1.000","-1.000","-1.000","-1.000","-4.76%"
"Dec 11, 2017","-1.050","-1.050","-1.050","-1.050","3.96%"
"Dec 10, 2017","-1.010","-1.080","-1.010","-1.080","-6.48%"
"Dec 08, 2017","-1.080","-1.080","-1.080","-1.080","0.00%"
"Dec 07, 2017","-1.080","-1.080","-1.080","-1.080","2.86%"
"Dec 06, 2017","-1.050","-1.050","-1.050","-1.050","-11.02%"
"Dec 05, 2017","-1.180","-1.180","-1.180","-1.180","594.12%"
"Dec 04, 2017","-0.170","-0.170","-0.170","-0.170","-85.22%"
"Dec 03, 2017","-1.150","-1.200","-1.150","-1.200","0.00%"
"Dec 02, 2017","-1.150","-1.150","-1.150","-1.150","-4.17%"
"Dec 01, 2017","-1.200","-1.200","-1.200","-1.200","4.35%"
"Nov 30, 2017","-1.150","-1.150","-1.150","-1.150","-0.86%"
"Nov 29, 2017","-1.160","-1.160","-1.160","-1.160","23.40%"
"Nov 28, 2017","-0.940","-0.940","-0.940","-0.940","5.62%"
"Nov 27, 2017","-0.890","-0.890","-0.890","-0.890","-1.11%"
"Nov 26, 2017","-0.900","-0.880","-0.880","-0.900","-3.23%"
"Nov 24, 2017","-0.930","-0.930","-0.930","-0.930","-3.12%"
"Nov 23, 2017","-0.960","-0.960","-0.960","-0.960","4.35%"
"Nov 22, 2017","-0.920","-0.920","-0.920","-0.920","3.37%"
"Nov 21, 2017","-0.890","-0.890","-0.890","-0.890","-6.32%"
"Nov 20, 2017","-0.950","-0.950","-0.950","-0.950","9.20%"
"Nov 19, 2017","-0.870","-0.870","-0.870","-0.900","-5.43%"
"Nov 17, 2017","-0.920","-0.920","-0.920","-0.920","3.37%"
"Nov 16, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"Nov 15, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"Nov 14, 2017","-0.890","-0.890","-0.890","-0.890","-1.11%"
"Nov 13, 2017","-0.900","-0.900","-0.900","-0.900","0.00%"
"Nov 12, 2017","-0.900","-0.880","-0.880","-0.900","-5.26%"
"Nov 10, 2017","-0.950","-0.950","-0.950","-0.950","6.74%"
"Nov 09, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"Nov 08, 2017","-0.890","-0.890","-0.890","-0.890","-1.11%"
"Nov 07, 2017","-0.900","-0.900","-0.900","-0.900","1.12%"
"Nov 06, 2017","-0.890","-0.890","-0.890","-0.890","-1.11%"
"Nov 05, 2017","-0.900","-0.890","-0.890","-0.900","1.12%"
"Nov 03, 2017","-0.890","-0.890","-0.890","-0.890","-5.32%"
"Nov 02, 2017","-0.940","-0.940","-0.940","-0.940","5.62%"
"Nov 01, 2017","-0.890","-0.890","-0.890","-0.890","-1.11%"
"Oct 31, 2017","-0.900","-0.900","-0.900","-0.900","1.12%"
"Oct 30, 2017","-0.890","-0.890","-0.890","-0.890","-1.11%"
"Oct 29, 2017","-0.900","-0.860","-0.860","-0.900","-4.26%"
"Oct 27, 2017","-0.940","-0.940","-0.940","-0.940","4.44%"
"Oct 26, 2017","-0.900","-0.900","-0.900","-0.900","-2.17%"
"Oct 25, 2017","-0.920","-0.920","-0.920","-0.920","3.37%"
"Oct 24, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"Oct 23, 2017","-0.890","-0.890","-0.890","-0.890","-1.11%"
"Oct 22, 2017","-0.900","-0.900","-0.860","-0.900","1.12%"
"Oct 20, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"Oct 19, 2017","-0.890","-0.890","-0.890","-0.890","-3.26%"
"Oct 18, 2017","-0.920","-0.920","-0.920","-0.920","-2.13%"
"Oct 17, 2017","-0.940","-0.940","-0.940","-0.940","-2.08%"
"Oct 16, 2017","-0.960","-0.960","-0.960","-0.960","6.67%"
"Oct 15, 2017","-0.900","-0.900","-0.900","-0.900","1.12%"
"Oct 13, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"Oct 12, 2017","-0.890","-0.890","-0.890","-0.890","0.00%"
"Oct 11, 2017","-0.890","-0.890","-0.890","-0.890","-3.26%"
"Oct 10, 2017","-0.920","-0.920","-0.920","-0.920","3.37%"
"Oct 09, 2017","-0.890","-0.890","-0.890","-0.890","-1.11%"
