"Date","Price","Open","High","Low","Change %"
"Mar 26, 2020","-0.639","-0.736","-0.639","-0.736","-11.98%"
"Mar 25, 2020","-0.726","-0.752","-0.726","-0.765","-3.59%"
"Mar 24, 2020","-0.753","-0.827","-0.753","-0.827","-8.62%"
"Mar 23, 2020","-0.824","-0.785","-0.785","-0.837","11.65%"
"Mar 20, 2020","-0.738","-0.803","-0.738","-0.825","-7.17%"
"Mar 19, 2020","-0.795","-0.808","-0.721","-0.899","-3.52%"
"Mar 18, 2020","-0.824","-0.828","-0.763","-0.936","4.30%"
"Mar 17, 2020","-0.790","-0.677","-0.651","-0.975","8.22%"
"Mar 16, 2020","-0.730","-0.834","-0.717","-1.092","-7.83%"
"Mar 13, 2020","-0.792","-0.822","-0.727","-0.989","-7.58%"
"Mar 12, 2020","-0.857","-0.930","-0.827","-1.093","-1.49%"
"Mar 11, 2020","-0.870","-0.913","-0.870","-0.989","3.82%"
"Mar 10, 2020","-0.838","-1.033","-0.838","-1.033","-11.79%"
"Mar 09, 2020","-0.950","-0.873","-0.737","-0.975","8.57%"
"Mar 06, 2020","-0.875","-0.892","-0.875","-0.926","-0.23%"
"Mar 05, 2020","-0.877","-0.843","-0.843","-0.961","-2.34%"
"Mar 04, 2020","-0.898","-0.772","-0.772","-0.923","5.77%"
"Mar 03, 2020","-0.849","-0.841","-0.841","-0.891","-3.08%"
"Mar 02, 2020","-0.876","-0.851","-0.851","-0.901","6.96%"
"Feb 28, 2020","-0.819","-0.811","-0.803","-0.894","-3.19%"
"Feb 27, 2020","-0.846","-0.738","-0.738","-0.854","6.42%"
"Feb 26, 2020","-0.795","-0.836","-0.795","-0.869","-0.25%"
"Feb 25, 2020","-0.797","-0.854","-0.797","-0.854","13.86%"
"Feb 24, 2020","-0.700","-0.798","-0.700","-0.856","7.20%"
"Feb 21, 2020","-0.653","-0.792","-0.653","-0.816","-16.82%"
"Feb 20, 2020","-0.785","-0.777","-0.777","-0.802","0.26%"
"Feb 19, 2020","-0.783","-0.783","-0.783","-0.807","24.29%"
"Feb 18, 2020","-0.630","-0.663","-0.630","-0.792","-18.18%"
"Feb 17, 2020","-0.770","-0.786","-0.770","-0.810","-1.28%"
"Feb 14, 2020","-0.780","-0.772","-0.772","-0.812","0.91%"
"Feb 13, 2020","-0.773","-0.757","-0.757","-0.797","3.48%"
"Feb 12, 2020","-0.747","-0.747","-0.731","-0.794","-0.13%"
"Feb 11, 2020","-0.748","-0.772","-0.748","-0.788","-0.27%"
"Feb 10, 2020","-0.750","-0.742","-0.742","-0.774","0.81%"
"Feb 07, 2020","-0.744","-0.744","-0.744","-0.776","-2.36%"
"Feb 06, 2020","-0.762","-0.762","-0.762","-0.762","20.38%"
