"Date","Price","Open","High","Low","Change %"
"Jun 21, 2017","1.3522","1.3560","1.3650","1.3440","0.31%"
"Jun 20, 2017","1.3480","1.3680","1.3730","1.3480","-1.19%"
"Jun 19, 2017","1.3642","1.3230","1.3640","1.3150","3.41%"
"Jun 18, 2017","1.3192","1.3192","1.3192","1.3192","0.31%"
"Jun 16, 2017","1.3151","1.3640","1.3680","1.3150","-2.98%"
"Jun 15, 2017","1.3555","1.3390","1.3680","1.3390","1.53%"
"Jun 14, 2017","1.3351","1.3630","1.3630","1.2900","-2.36%"
"Jun 13, 2017","1.3674","1.3590","1.3670","1.3510","0.61%"
"Jun 12, 2017","1.3591","1.3390","1.3590","1.3390","1.21%"
"Jun 11, 2017","1.3428","1.3388","1.3428","1.3388","0.30%"
"Jun 09, 2017","1.3388","1.3140","1.3510","1.3060","1.25%"
"Jun 08, 2017","1.3223","1.3220","1.3380","1.3100","0.92%"
"Jun 07, 2017","1.3102","1.2980","1.3220","1.2980","0.94%"
"Jun 06, 2017","1.2980","1.3020","1.3060","1.2780","-0.61%"
"Jun 05, 2017","1.3060","1.2940","1.3100","1.2900","0.94%"
"Jun 04, 2017","1.2939","1.2899","1.2939","1.2899","0.31%"
"Jun 02, 2017","1.2899","1.3060","1.3060","1.2660","-0.60%"
"Jun 01, 2017","1.2977","1.2940","1.3140","1.2860","0.93%"
"May 31, 2017","1.2858","1.2900","1.3020","1.2780","0.01%"
"May 30, 2017","1.2857","1.2980","1.3020","1.2860","-1.22%"
"May 29, 2017","1.3016","1.2976","1.3016","1.2976","0.31%"
"May 26, 2017","1.2976","1.2940","1.3060","1.2860","0.00%"
"May 25, 2017","1.2976","1.2940","1.2980","1.2820","1.23%"
"May 24, 2017","1.2818","1.3140","1.3330","1.2820","-1.95%"
"May 23, 2017","1.3073","1.2790","1.3110","1.2750","1.93%"
"May 22, 2017","1.2826","1.2910","1.2950","1.2790","-0.32%"
"May 21, 2017","1.2867","1.2826","1.2867","1.2826","0.97%"
"May 19, 2017","1.2744","1.2830","1.2950","1.2700","0.32%"
"May 18, 2017","1.2703","1.2620","1.2830","1.2250","1.96%"
"May 17, 2017","1.2459","1.2780","1.2860","1.2420","-4.36%"
"May 16, 2017","1.3027","1.3030","1.3150","1.2910","0.00%"
"May 15, 2017","1.3027","1.2940","1.3070","1.2900","0.63%"
"May 14, 2017","1.2945","1.2945","1.2945","1.2904","0.32%"
"May 12, 2017","1.2904","1.3430","1.3430","1.2900","-3.62%"
"May 11, 2017","1.3388","1.3590","1.3670","1.3390","-1.47%"
"May 10, 2017","1.3588","1.3420","1.3590","1.3310","0.91%"
"May 09, 2017","1.3466","1.3340","1.3590","1.3260","0.91%"
"May 08, 2017","1.3344","1.3300","1.3420","1.3100","0.62%"
"May 07, 2017","1.3262","1.3142","1.3302","1.3142","0.91%"
"May 05, 2017","1.3142","1.3020","1.3420","1.3020","0.33%"
"May 04, 2017","1.3099","1.3100","1.3300","1.3020","0.93%"
"May 03, 2017","1.2978","1.2700","1.3020","1.2660","2.84%"
"May 02, 2017","1.2619","1.2740","1.2940","1.2580","-1.25%"
"May 01, 2017","1.2779","1.2700","1.2980","1.2660","0.95%"
"Apr 30, 2017","1.2659","1.2659","1.2699","1.2659","-0.31%"
"Apr 28, 2017","1.2699","1.2540","1.2940","1.2540","0.64%"
"Apr 27, 2017","1.2618","1.2820","1.2820","1.2540","-0.93%"
"Apr 26, 2017","1.2737","1.2910","1.3010","1.2740","-0.07%"
"Apr 25, 2017","1.2746","1.2330","1.2790","1.2290","3.69%"
"Apr 24, 2017","1.2293","1.2580","1.2620","1.2250","3.44%"
"Apr 22, 2017","1.1884","1.1884","1.1884","1.1884","0.00%"
"Apr 21, 2017","1.1884","1.1930","1.2010","1.1680","-0.37%"
"Apr 20, 2017","1.1928","1.1810","1.2090","1.1760","1.02%"
"Apr 19, 2017","1.1807","1.1730","1.1930","1.1680","1.39%"
"Apr 18, 2017","1.1645","1.2090","1.2090","1.1600","-3.05%"
"Apr 17, 2017","1.2011","1.1810","1.2090","1.1770","2.06%"
"Apr 16, 2017","1.1769","1.1810","1.1810","1.1729","-2.36%"
"Apr 13, 2017","1.2053","1.2140","1.2250","1.1970","0.32%"
"Apr 12, 2017","1.2015","1.2420","1.2540","1.2020","-2.94%"
"Apr 11, 2017","1.2379","1.2660","1.2700","1.2260","-3.15%"
"Apr 10, 2017","1.2781","1.2900","1.2980","1.2660","-0.94%"
"Apr 09, 2017","1.2902","1.2902","1.2902","1.2862","0.00%"
"Apr 07, 2017","1.2902","1.2540","1.2940","1.1980","3.88%"
"Apr 06, 2017","1.2420","1.2300","1.2580","1.2300","0.32%"
"Apr 05, 2017","1.2380","1.2540","1.2700","1.2260","-1.59%"
"Apr 04, 2017","1.2580","1.2300","1.2580","1.2300","2.61%"
"Apr 03, 2017","1.2260","1.2620","1.2820","1.2260","-2.54%"
"Apr 02, 2017","1.2579","1.2619","1.2619","1.2579","-0.32%"
"Mar 31, 2017","1.2619","1.2820","1.2900","1.2580","-1.85%"
"Mar 30, 2017","1.2857","1.2820","1.2900","1.2660","0.93%"
"Mar 29, 2017","1.2738","1.3060","1.3060","1.2700","-2.44%"
"Mar 28, 2017","1.3056","1.2740","1.3060","1.2580","3.88%"
"Mar 27, 2017","1.2568","1.2400","1.2570","1.2280","1.35%"
"Mar 26, 2017","1.2401","1.2607","1.2607","1.2319","-1.63%"
"Mar 24, 2017","1.2607","1.2600","1.2770","1.2440","0.37%"
"Mar 23, 2017","1.2561","1.2520","1.2680","1.2400","0.34%"
"Mar 22, 2017","1.2518","1.2640","1.2720","1.2400","-0.96%"
"Mar 21, 2017","1.2639","1.2960","1.3090","1.2600","-2.21%"
"Mar 20, 2017","1.2924","1.3210","1.3210","1.2920","-2.15%"
"Mar 19, 2017","1.3208","1.3208","1.3208","1.3208","0.00%"
"Mar 18, 2017","1.3208","1.3208","1.3208","1.3208","0.00%"
"Mar 17, 2017","1.3208","1.3360","1.3410","1.3040","-1.15%"
"Mar 16, 2017","1.3362","1.2990","1.3400","1.2990","2.52%"
"Mar 15, 2017","1.3034","1.3800","1.4010","1.3030","-5.58%"
"Mar 14, 2017","1.3804","1.3800","1.3850","1.3680","0.32%"
"Mar 13, 2017","1.3760","1.3670","1.3800","1.3440","0.92%"
"Mar 12, 2017","1.3635","1.3554","1.3635","1.3554","0.60%"
"Mar 10, 2017","1.3554","1.3750","1.3880","1.3550","-1.69%"
"Mar 09, 2017","1.3787","1.3620","1.3790","1.3500","1.51%"
"Mar 08, 2017","1.3582","1.3340","1.3780","1.3300","2.14%"
"Mar 07, 2017","1.3297","1.3010","1.3340","1.3010","1.87%"
"Mar 06, 2017","1.3053","1.3010","1.3170","1.2890","0.33%"
"Mar 05, 2017","1.3010","1.3051","1.3091","1.3010","-0.62%"
"Mar 03, 2017","1.3091","1.3160","1.3450","1.3050","-0.25%"
"Mar 02, 2017","1.3124","1.3000","1.3400","1.2840","1.88%"
"Mar 01, 2017","1.2882","1.2880","1.3080","1.2720","1.91%"
"Feb 28, 2017","1.2640","1.2000","1.2800","1.1880","5.31%"
"Feb 27, 2017","1.2003","1.1530","1.2080","1.1490","4.13%"
"Feb 26, 2017","1.1527","1.1488","1.1527","1.1488","0.34%"
"Feb 24, 2017","1.1488","1.1880","1.1880","1.1450","-3.01%"
"Feb 23, 2017","1.1845","1.2160","1.2240","1.1840","-2.93%"
"Feb 22, 2017","1.2202","1.2320","1.2520","1.2080","0.78%"
"Feb 21, 2017","1.2108","1.2070","1.2230","1.2020","0.69%"
"Feb 20, 2017","1.2025","1.2025","1.2065","1.2025","0.69%"
"Feb 17, 2017","1.1943","1.2180","1.2260","1.1820","-0.98%"
"Feb 16, 2017","1.2061","1.2510","1.2550","1.2060","-3.57%"
"Feb 15, 2017","1.2507","1.2380","1.2670","1.2300","1.00%"
"Feb 14, 2017","1.2383","1.2060","1.2500","1.2020","2.70%"
"Feb 13, 2017","1.2058","1.2060","1.2140","1.2020","0.01%"
"Feb 12, 2017","1.2057","1.1936","1.2097","1.1936","1.01%"
"Feb 10, 2017","1.1936","1.1930","1.2020","1.1860","1.05%"
"Feb 09, 2017","1.1812","1.1490","1.1850","1.1450","3.16%"
"Feb 08, 2017","1.1450","1.1730","1.1770","1.1410","-2.05%"
"Feb 07, 2017","1.1690","1.1570","1.1730","1.1410","1.04%"
"Feb 06, 2017","1.1570","1.2010","1.2010","1.1530","-3.66%"
"Feb 05, 2017","1.2009","1.2009","1.2049","1.2009","0.00%"
"Feb 03, 2017","1.2009","1.2130","1.2450","1.1730","-0.64%"
"Feb 02, 2017","1.2086","1.2170","1.2170","1.1930","-0.97%"
"Feb 01, 2017","1.2204","1.2160","1.2640","1.2090","0.66%"
"Jan 31, 2017","1.2124","1.2160","1.2160","1.1890","-0.31%"
"Jan 30, 2017","1.2162","1.2160","1.2240","1.2000","-0.33%"
"Jan 29, 2017","1.2202","1.2202","1.2202","1.2162","0.00%"
"Jan 27, 2017","1.2202","1.2320","1.2400","1.2120","-0.64%"
"Jan 26, 2017","1.2281","1.2360","1.2520","1.2200","-0.97%"
"Jan 25, 2017","1.2401","1.2200","1.2560","1.2120","3.64%"
"Jan 24, 2017","1.1965","1.1560","1.2010","1.1510","4.27%"
"Jan 23, 2017","1.1475","1.1840","1.1970","1.1430","-3.12%"
"Jan 22, 2017","1.1844","1.1844","1.1844","1.1803","-1.03%"
"Jan 20, 2017","1.1967","1.2300","1.2420","1.1840","-2.34%"
"Jan 19, 2017","1.2254","1.2210","1.2500","1.2130","0.33%"
"Jan 18, 2017","1.2214","1.1560","1.2250","1.1560","5.99%"
"Jan 17, 2017","1.1524","1.1850","1.1890","1.1360","-2.75%"
"Jan 16, 2017","1.1850","1.1971","1.1971","1.1850","-1.01%"
"Jan 13, 2017","1.1971","1.1810","1.2250","1.1570","1.68%"
"Jan 12, 2017","1.1773","1.1810","1.1810","1.1450","-1.03%"
"Jan 11, 2017","1.1895","1.1900","1.2060","1.1570","-0.34%"
"Jan 10, 2017","1.1936","1.1900","1.2060","1.1820","0.67%"
"Jan 09, 2017","1.1856","1.2140","1.2420","1.1860","-2.32%"
"Jan 08, 2017","1.2138","1.2138","1.2138","1.2138","0.00%"
"Jan 06, 2017","1.2138","1.1740","1.2220","1.1620","3.74%"
"Jan 05, 2017","1.1700","1.2140","1.2260","1.1660","-3.94%"
"Jan 04, 2017","1.2180","1.2260","1.2420","1.2180","-0.01%"
"Jan 03, 2017","1.2181","1.1860","1.2500","1.1860","1.66%"
"Jan 02, 2017","1.1982","1.1982","1.1982","1.1982","0.00%"
"Dec 30, 2016","1.1982","1.2180","1.2260","1.1900","-1.63%"
"Dec 29, 2016","1.2181","1.2580","1.2620","1.2180","-3.16%"
"Dec 28, 2016","1.2579","1.2780","1.2900","1.2580","2.20%"
"Dec 27, 2016","1.2308","1.2140","1.2390","1.2100","2.08%"
"Dec 26, 2016","1.2057","1.2057","1.2057","1.2057","0.00%"
"Dec 23, 2016","1.2057","1.2100","1.2100","1.1970","0.78%"
"Dec 22, 2016","1.1964","1.1960","1.2130","1.1920","0.03%"
"Dec 21, 2016","1.1961","1.2240","1.2290","1.1920","-1.99%"
"Dec 20, 2016","1.2204","1.2240","1.2530","1.2200","-0.64%"
"Dec 19, 2016","1.2282","1.2480","1.2520","1.2200","-1.93%"
"Dec 18, 2016","1.2524","1.2524","1.2524","1.2524","-0.65%"
"Dec 16, 2016","1.2606","1.2800","1.2800","1.2320","-1.19%"
"Dec 15, 2016","1.2758","1.2840","1.3040","1.2550","0.67%"
"Dec 14, 2016","1.2673","1.1610","1.2800","1.1540","8.73%"
"Dec 13, 2016","1.1656","1.1410","1.1740","1.1330","1.79%"
"Dec 12, 2016","1.1451","1.1490","1.1610","1.1330","0.02%"
"Dec 11, 2016","1.1449","1.1369","1.1490","1.1369","0.70%"
"Dec 09, 2016","1.1369","1.1120","1.1370","1.1090","2.22%"
"Dec 08, 2016","1.1122","1.1040","1.1320","1.0960","1.47%"
"Dec 07, 2016","1.0961","1.1240","1.1280","1.0960","-1.78%"
"Dec 06, 2016","1.1160","1.1280","1.1280","1.1160","-0.69%"
"Dec 05, 2016","1.1238","1.0920","1.1440","1.0800","2.56%"
"Dec 04, 2016","1.0957","1.0877","1.1036","1.0877","-1.07%"
"Dec 02, 2016","1.1076","1.1430","1.1560","1.1000","-3.77%"
"Dec 01, 2016","1.1510","1.1310","1.1670","1.1190","2.86%"
"Nov 30, 2016","1.1190","1.0950","1.1350","1.0950","2.56%"
"Nov 29, 2016","1.0911","1.1070","1.1270","1.0910","-1.08%"
"Nov 28, 2016","1.1030","1.1230","1.1310","1.1030","-1.76%"
"Nov 27, 2016","1.1228","1.1268","1.1268","1.1188","-0.35%"
"Nov 25, 2016","1.1268","1.1430","1.1700","1.1230","-1.73%"
"Nov 24, 2016","1.1466","1.1784","1.1824","1.1466","1.41%"
"Nov 23, 2016","1.1307","1.0910","1.1510","1.0870","3.26%"
"Nov 22, 2016","1.0950","1.0910","1.1070","1.0750","2.11%"
"Nov 21, 2016","1.0724","1.0720","1.0930","1.0480","-0.33%"
"Nov 20, 2016","1.0760","1.0679","1.0801","1.0679","0.76%"
"Nov 18, 2016","1.0679","1.0540","1.0760","1.0230","2.48%"
"Nov 17, 2016","1.0421","1.0010","1.0500","0.9890","3.68%"
"Nov 16, 2016","1.0051","1.0050","1.0300","0.9840","0.44%"
"Nov 15, 2016","1.0007","1.0040","1.0290","0.9720","-0.37%"
"Nov 14, 2016","1.0044","0.9680","1.0160","0.9560","4.23%"
"Nov 13, 2016","0.9636","1.0121","1.0121","0.9515","4.84%"
"Nov 10, 2016","0.9191","0.8940","0.9270","0.8540","1.42%"
"Nov 09, 2016","0.9062","0.8660","0.9140","0.7140","5.63%"
"Nov 08, 2016","0.8579","0.8220","0.8740","0.8180","4.90%"
"Nov 07, 2016","0.8178","0.8380","0.8420","0.8100","-2.84%"
"Nov 06, 2016","0.8417","0.8417","0.8456","0.8337","6.57%"
"Nov 04, 2016","0.7898","0.8130","0.8300","0.7860","-2.43%"
"Nov 03, 2016","0.8095","0.8170","0.8290","0.7780","-1.91%"
"Nov 02, 2016","0.8253","0.8330","0.8370","0.8050","-1.41%"
"Nov 01, 2016","0.8371","0.8490","0.8730","0.8250","-0.92%"
"Oct 31, 2016","0.8449","0.8570","0.8610","0.8450","-0.90%"
"Oct 30, 2016","0.8526","0.8526","0.8526","0.8526","-0.47%"
"Oct 28, 2016","0.8566","0.8920","0.9000","0.8530","-3.56%"
"Oct 27, 2016","0.8882","0.8720","0.8960","0.8680","1.81%"
"Oct 26, 2016","0.8724","0.8600","0.8760","0.8600","1.87%"
"Oct 25, 2016","0.8564","0.8440","0.8600","0.8440","1.47%"
"Oct 24, 2016","0.8440","0.8270","0.8480","0.8190","1.50%"
"Oct 23, 2016","0.8315","0.8315","0.8315","0.8315","0.48%"
"Oct 21, 2016","0.8275","0.8230","0.8400","0.8230","0.53%"
"Oct 20, 2016","0.8231","0.8070","0.8270","0.8030","2.54%"
"Oct 19, 2016","0.8027","0.8070","0.8230","0.7950","0.01%"
"Oct 18, 2016","0.8026","0.8190","0.8310","0.7990","-1.97%"
"Oct 17, 2016","0.8187","0.8390","0.8470","0.8150","-1.93%"
"Oct 16, 2016","0.8348","0.8348","0.8348","0.8348","-0.96%"
