"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2019","0.7553","0.7555","0.7585","0.7549","242.12K","0.00%"
"03/05/2019","0.7553","0.7589","0.7627","0.7551","236.34K","-0.44%"
"03/04/2019","0.7586","0.7562","0.7602","0.7534","204.08K","0.11%"
"03/01/2019","0.7578","0.7553","0.7595","0.7538","258.62K","0.37%"
"02/28/2019","0.7550","0.7502","0.7578","0.7492","249.96K","0.67%"
"02/27/2019","0.7500","0.7548","0.7559","0.7500","250.11K","-0.61%"
"02/26/2019","0.7546","0.7634","0.7634","0.7528","217.79K","-1.06%"
"02/25/2019","0.7627","0.7645","0.7668","0.7624","195.11K","-0.37%"
"02/22/2019","0.7655","0.7658","0.7695","0.7649","210.42K","0.05%"
"02/21/2019","0.7651","0.7655","0.7671","0.7632","256.30K","-0.03%"
"02/20/2019","0.7653","0.7646","0.7678","0.7638","232.28K","0.13%"
"02/19/2019","0.7643","0.7705","0.7717","0.7640","200.98K","-0.74%"
"02/18/2019","0.7700","0.7717","0.7725","0.7686","170.19K","-0.18%"
"02/15/2019","0.7714","0.7774","0.7780","0.7710","213.61K","-0.64%"
"02/14/2019","0.7764","0.7714","0.7781","0.7702","206.15K","0.69%"
"02/13/2019","0.7711","0.7706","0.7725","0.7682","209.25K","0.09%"
"02/12/2019","0.7704","0.7752","0.7752","0.7689","219.05K","-0.58%"
"02/11/2019","0.7749","0.7721","0.7752","0.7653","176.41K","0.39%"
"02/08/2019","0.7719","0.7703","0.7737","0.7688","206.18K","0.26%"
"02/07/2019","0.7699","0.7713","0.7760","0.7688","224.90K","-0.14%"
"02/06/2019","0.7710","0.7723","0.7731","0.7700","240.98K","-0.18%"
"02/05/2019","0.7724","0.7688","0.7734","0.7660","225.66K","0.53%"
"02/04/2019","0.7683","0.7675","0.7695","0.7643","179.86K","0.05%"
"02/01/2019","0.7679","0.7671","0.7724","0.7660","225.05K","0.10%"
"01/31/2019","0.7671","0.7668","0.7688","0.7651","242.62K","0.04%"
"01/30/2019","0.7668","0.7692","0.7701","0.7645","262.25K","-0.32%"
"01/29/2019","0.7693","0.7659","0.7699","0.7623","252.60K","0.43%"
"01/28/2019","0.7660","0.7632","0.7673","0.7615","201.82K","0.45%"
"01/25/2019","0.7626","0.7681","0.7689","0.7623","257.60K","-0.72%"
"01/24/2019","0.7681","0.7690","0.7724","0.7678","229.66K","-0.14%"
"01/23/2019","0.7692","0.7739","0.7749","0.7672","244.64K","-0.62%"
"01/22/2019","0.7740","0.7779","0.7800","0.7732","241.25K","-0.49%"
"01/21/2019","0.7778","0.7798","0.7826","0.7763","203.81K","-0.29%"
"01/18/2019","0.7801","0.7744","0.7813","0.7734","227.69K","0.74%"
"01/17/2019","0.7744","0.7837","0.7857","0.7739","245.61K","-1.21%"
"01/16/2019","0.7839","0.7872","0.7895","0.7832","","-0.42%"
"01/15/2019","0.7872","0.7926","0.7984","0.7856","","-0.66%"
"01/14/2019","0.7924","0.7909","0.7943","0.7884","","0.21%"
"01/11/2019","0.7907","0.7963","0.8013","0.7904","","-0.77%"
"01/10/2019","0.7968","0.8024","0.8055","0.7962","","-0.71%"
"01/09/2019","0.8025","0.8013","0.8040","0.7982","","0.16%"
"01/08/2019","0.8012","0.7986","0.8025","0.7968","15.29K","0.33%"
"01/07/2019","0.7986","0.7963","0.8000","0.7956","12.25K","0.23%"
"01/04/2019","0.7968","0.8022","0.8032","0.7953","0.01K","-0.70%"
"01/03/2019","0.8024","0.8009","0.8123","0.7992","13.37K","0.19%"
"01/02/2019","0.8009","0.7990","0.8042","0.7972","11.62K","0.25%"
"01/01/2019","0.7989","0.7982","0.8003","0.7979","6.87K","0.06%"
"12/31/2018","0.7984","0.8010","0.8015","0.7914","0.08K","-0.13%"
"12/28/2018","0.7994","0.8005","0.8056","0.7985","","-0.16%"
"12/27/2018","0.8007","0.7949","0.8034","0.7935","13.78K","0.74%"
"12/26/2018","0.7948","0.7978","0.8000","0.7938","10.80K","-0.55%"
"12/25/2018","0.7992","0.7988","0.8045","0.7933","10.88K","0.28%"
"12/24/2018","0.7970","0.7944","0.7992","0.7935","3.61K","0.20%"
"12/21/2018","0.7954","0.7996","0.8012","0.7945","","-0.54%"
"12/20/2018","0.7997","0.7973","0.8011","0.7950","15.70K","0.29%"
"12/19/2018","0.7974","0.7966","0.7987","0.7951","","0.09%"
"12/18/2018","0.7967","0.7976","0.7990","0.7943","","-0.10%"
"12/17/2018","0.7975","0.7960","0.8000","0.7947","","0.15%"
"12/14/2018","0.7963","0.7945","0.8001","0.7932","","0.21%"
"12/13/2018","0.7946","0.7970","0.7984","0.7941","","-0.30%"
"12/12/2018","0.7970","0.8058","0.8065","0.7945","","-1.13%"
"12/11/2018","0.8061","0.8039","0.8070","0.8009","","0.31%"
"12/10/2018","0.8036","0.7932","0.8079","0.7915","","1.31%"
"12/07/2018","0.7932","0.7877","0.7942","0.7862","","0.67%"
"12/06/2018","0.7879","0.7873","0.7907","0.7859","","0.09%"
"12/05/2018","0.7872","0.7882","0.7893","0.7833","","-0.13%"
"12/04/2018","0.7882","0.7876","0.7909","0.7836","","0.08%"
"12/03/2018","0.7876","0.7841","0.7891","0.7821","","0.37%"
"11/30/2018","0.7847","0.7850","0.7878","0.7831","","-0.01%"
"11/29/2018","0.7848","0.7847","0.7888","0.7835","","0.04%"
"11/28/2018","0.7845","0.7853","0.7864","0.7816","","-0.09%"
"11/27/2018","0.7852","0.7804","0.7870","0.7800","","0.63%"
"11/26/2018","0.7803","0.7800","0.7833","0.7792","","-0.34%"
"11/23/2018","0.7830","0.7800","0.7838","0.7794","","0.33%"
"11/22/2018","0.7804","0.7872","0.7882","0.7795","","-0.79%"
"11/21/2018","0.7866","0.7859","0.7874","0.7841","","0.09%"
"11/20/2018","0.7859","0.7833","0.7868","0.7815","","0.34%"
"11/19/2018","0.7832","0.7795","0.7847","0.7769","","0.54%"
"11/16/2018","0.7790","0.7772","0.7805","0.7722","","0.28%"
"11/15/2018","0.7768","0.7654","0.7807","0.7632","","1.54%"
"11/14/2018","0.7650","0.7653","0.7708","0.7615","","-0.05%"
"11/13/2018","0.7654","0.7700","0.7705","0.7603","","-0.58%"
"11/12/2018","0.7699","0.7673","0.7722","0.7660","","0.46%"
"11/09/2018","0.7664","0.7612","0.7674","0.7597","","0.71%"
"11/08/2018","0.7610","0.7598","0.7623","0.7589","","0.14%"
"11/07/2018","0.7599","0.7617","0.7645","0.7595","","-0.21%"
"11/06/2018","0.7615","0.7634","0.7644","0.7605","","-0.24%"
"11/05/2018","0.7633","0.7649","0.7675","0.7627","","-0.62%"
"11/02/2018","0.7681","0.7671","0.7713","0.7665","","0.16%"
"11/01/2018","0.7669","0.7766","0.7773","0.7659","","-1.25%"
"10/31/2018","0.7766","0.7829","0.7834","0.7753","","-0.82%"
"10/30/2018","0.7830","0.7802","0.7843","0.7789","","0.36%"
"10/29/2018","0.7802","0.7819","0.7825","0.7782","","-0.15%"
"10/26/2018","0.7814","0.7805","0.7823","0.7790","","0.13%"
"10/25/2018","0.7804","0.7779","0.7811","0.7750","","0.31%"
"10/24/2018","0.7780","0.7741","0.7790","0.7728","","0.50%"
"10/23/2018","0.7741","0.7742","0.7756","0.7702","","-0.05%"
"10/22/2018","0.7745","0.7681","0.7748","0.7668","","0.87%"
"10/19/2018","0.7678","0.7715","0.7719","0.7659","","-0.48%"
"10/18/2018","0.7715","0.7662","0.7718","0.7652","","0.70%"
"10/17/2018","0.7661","0.7658","0.7692","0.7646","","0.09%"
"10/16/2018","0.7654","0.7702","0.7708","0.7641","","-0.64%"
"10/15/2018","0.7703","0.7678","0.7726","0.7661","","0.48%"
"10/12/2018","0.7666","0.7636","0.7678","0.7623","","0.38%"
"10/11/2018","0.7637","0.7655","0.7676","0.7630","","-0.22%"
"10/10/2018","0.7654","0.7671","0.7675","0.7628","","-0.21%"
"10/09/2018","0.7670","0.7696","0.7719","0.7661","","-0.34%"
