Date,Open_USD_CHF,Open_CHF_EUR,Open_CHF_GBP,Open_CHF_JPY,Open_CHF_CAD,Open_USD_JPY,Open_USD_EUR,Open_USD_GBP,Open_USD_CAD,Prev_Close_USD_CHF,Prev_Close_BondCH1m,Prev_Close_BondCH2y,Prev_Close_BondCH10y,Prev_Close_SMI,Prev_Close_BondUS1m,Prev_Close_BondUS2y,Prev_Close_BondUS10y,Prev_Close_SP500
2001-12-28,1.6776,0.6745,0.4106,78.48,0.952,131.68,1.1319,0.6887,1.5981,1.6806,1.68,2.011,3.46,6410.6,1.751,3.307,5.072,1157.1
2002-01-04,1.6506,0.6733,0.421,79.79,0.9677,131.72,1.1126,0.6953,1.5984,1.65,1.72,2.059,3.403,6380.9,1.72,3.168,5.111,1165.3
2002-01-07,1.652,0.676,0.418,79.26,0.9657,130.9,1.1168,0.6906,1.5956,1.6519,1.69,1.966,3.412,6392.9,1.725,3.17,5.125,1172.5
2002-01-08,1.648,0.6785,0.4209,79.49,0.9695,131.04,1.1187,0.694,1.5987,1.649,1.65,2.531,3.401,6384.4,1.7,3.053,5.049,1164.9
2002-01-09,1.6553,0.676,0.4197,80.17,0.9638,132.75,1.1192,0.6947,1.5965,1.6559,1.6,2.509,3.369,6313.9,1.68,3.069,5.083,1160.7
2002-01-10,1.6596,0.6757,0.4188,80.12,0.9618,133.0,1.1222,0.6954,1.5971,1.6602,1.55,2.496,3.358,6360.3,1.669,2.979,5.048,1155.1
2002-01-11,1.6613,0.6748,0.418,79.69,0.9616,132.41,1.1216,0.6946,1.5978,1.6609,1.6,2.513,3.305,6363.7,1.68,2.937,4.975,1156.5
2002-01-14,1.6545,0.6752,0.4166,79.77,0.9637,132.05,1.1178,0.6898,1.5958,1.6561,1.6,2.561,3.299,6416.4,1.669,2.739,4.872,1145.6
2002-01-15,1.6552,0.675,0.4167,79.72,0.9629,131.99,1.1178,0.6899,1.5949,1.6555,1.6,2.487,3.297,6301.1,1.628,2.783,4.884,1138.4
2002-01-16,1.6716,0.6772,0.4152,78.41,0.9499,131.05,1.1325,0.6943,1.5888,1.6714,1.61,2.531,3.335,6292.3,1.644,2.787,4.845,1146.2
2002-01-17,1.6591,0.6829,0.4189,79.55,0.9635,132.0,1.1329,0.6957,1.5993,1.6589,1.58,2.473,3.327,6238.9,1.629,2.819,4.841,1127.6
2002-01-18,1.6652,0.6809,0.418,79.57,0.967,132.5,1.1342,0.6961,1.6108,1.6666,1.55,2.548,3.362,6320.0,1.613,2.854,4.931,1138.9
2002-01-22,1.6609,0.6809,0.4192,79.81,0.9703,132.58,1.1312,0.6963,1.6126,1.6613,1.58,2.561,3.399,6231.1,1.593,2.897,4.893,1127.6
2002-01-24,1.6706,0.681,0.42,80.5,0.9583,134.51,1.1382,0.7019,1.6018,1.6711,1.58,2.57,3.459,6310.0,1.69,3.015,5.028,1128.2
2002-01-25,1.6736,0.6803,0.4192,80.46,0.9578,134.7,1.1388,0.702,1.6042,1.6769,1.59,2.605,3.475,6390.9,1.69,3.154,5.005,1132.2
2002-01-28,1.7035,0.6782,0.4167,79.14,0.9456,134.74,1.155,0.7096,1.6106,1.7033,1.58,2.69,3.514,6372.1,1.7,3.175,5.069,1133.3
