Date,Close,US_infl,CH_infl,US_IR,SARON_close
2005-01-03,1.147,0.21019443,-0.5,1.99,0.588191
2005-01-04,1.1676,0.21019443,-0.5,2.05,0.616042
2005-01-05,1.1669,0.21019443,-0.5,2.04,0.696835
2005-01-06,1.174,0.21019443,-0.5,2.04,0.76842
2005-01-07,1.1841,0.21019443,-0.5,2.03,0.672936
2005-01-10,1.1794,0.21019443,-0.5,2.07,0.674866
2005-01-11,1.1824,0.21019443,-0.5,2.03,0.648851
2005-01-12,1.1676,0.21019443,-0.5,2.01,0.733961
2005-01-13,1.1721,0.21019443,-0.5,2.06,0.738232
2005-01-14,1.1791,0.21019443,-0.5,2.06,0.694707
2005-01-17,1.1845,0.21019443,-0.5,2.06,0.59171
2005-01-18,1.1853,0.21019443,-0.5,2.05,0.242728
2005-01-19,1.1851,0.21019443,-0.5,1.95,0.102421
2005-01-20,1.1902,0.21019443,-0.5,1.89,0.580831
2005-01-21,1.1854,0.21019443,-0.5,2.02,0.598649
2005-01-24,1.185,0.21019443,-0.5,2.05,0.676779
2005-01-25,1.1934,0.21019443,-0.5,2.13,0.494427
2005-01-26,1.1825,0.21019443,-0.5,2.16,0.448016
2005-01-27,1.1843,0.21019443,-0.5,2.16,0.437884
2005-01-28,1.1855,0.21019443,-0.5,2.12,0.414701
2005-01-31,1.1878,0.21019443,-0.5,2.06,0.654176
2005-02-01,1.1907,0.576822234,0.2,2.23,0.669731
2005-02-02,1.193,0.576822234,0.2,2.22,0.629928
2005-02-03,1.2025,0.576822234,0.2,2.18,0.563602
2005-02-04,1.2132,0.576822234,0.2,2.2,0.619888
2005-02-07,1.2238,0.576822234,0.2,2.27,0.661869
2005-02-08,1.221,0.576822234,0.2,2.34,0.614977
2005-02-09,1.2164,0.576822234,0.2,2.34,0.511663
2005-02-10,1.2074,0.576822234,0.2,2.35,0.497193
2005-02-11,1.2095,0.576822234,0.2,2.36,0.468912
2005-02-14,1.1979,0.576822234,0.2,2.37,0.473938
2005-02-15,1.1891,0.576822234,0.2,2.4,0.512378
2005-02-16,1.188,0.576822234,0.2,2.39,0.463627
2005-02-17,1.1838,0.576822234,0.2,2.4,0.482753
2005-02-18,1.1832,0.576822234,0.2,2.39,0.487894
2005-02-21,1.1827,0.576822234,0.2,2.39,0.582635
2005-02-22,1.1587,0.576822234,0.2,2.43,0.684674
2005-02-23,1.164,0.576822234,0.2,2.47,0.576288
2005-02-24,1.1699,0.576822234,0.2,2.48,0.452254
2005-02-25,1.162,0.576822234,0.2,2.5,0.486893
2005-02-28,1.1638,0.576822234,0.2,2.51,0.67587
2005-03-01,1.167,0.782064651,0.2,2.55,0.616146
2005-03-02,1.1736,0.782064651,0.2,2.54,0.592826
2005-03-03,1.1811,0.782064651,0.2,2.55,0.589503
2005-03-04,1.1684,0.782064651,0.2,2.56,0.599542
2005-03-07,1.1743,0.782064651,0.2,2.59,0.663609
2005-03-08,1.1607,0.782064651,0.2,2.61,0.692096
2005-03-09,1.1602,0.782064651,0.2,2.6,0.661278
2005-03-10,1.1525,0.782064651,0.2,2.6,0.611968
2005-03-11,1.1491,0.782064651,0.2,2.6,0.610944
2005-03-14,1.1597,0.782064651,0.2,2.62,0.642379
2005-03-15,1.1652,0.782064651,0.2,2.7,0.632962
2005-03-16,1.1529,0.782064651,0.2,2.68,0.698957
2005-03-17,1.1574,0.782064651,0.2,2.68,0.67625
2005-03-18,1.1636,0.782064651,0.2,2.7,0.719143
2005-03-21,1.1789,0.782064651,0.2,2.72,0.636737
2005-03-22,1.189,0.782064651,0.2,2.77,0.631167
2005-03-23,1.1959,0.782064651,0.2,2.72,0.651934
2005-03-24,1.2025,0.782064651,0.2,2.7,0.738258
2005-03-25,1.199,0.782064651,0.2,2.7,0.738258
2005-03-28,1.2037,0.782064651,0.2,2.69,0.738258
2005-03-29,1.2,0.782064651,0.2,2.7,0.712885
2005-03-30,1.2,0.782064651,0.2,2.71,0.714627
2005-03-31,1.1958,0.782064651,0.2,2.63,0.809343
2005-04-01,1.2024,0.672529747,0.8,2.66,0.713471
2005-04-04,1.2089,0.672529747,0.8,2.64,0.669411
2005-04-05,1.2064,0.672529747,0.8,2.63,0.650412
2005-04-06,1.2059,0.672529747,0.8,2.6,0.693951
2005-04-07,1.2074,0.672529747,0.8,2.61,0.653979
2005-04-08,1.1964,0.672529747,0.8,2.61,0.651179
2005-04-11,1.1936,0.672529747,0.8,2.6,0.607433
2005-04-12,1.1995,0.672529747,0.8,2.62,0.623382
2005-04-13,1.2,0.672529747,0.8,2.62,0.54489
2005-04-14,1.2154,0.672529747,0.8,2.62,0.522952
2005-04-15,1.1999,0.672529747,0.8,2.63,0.535879
2005-04-18,1.1877,0.672529747,0.8,2.67,0.584767
2005-04-19,1.1804,0.672529747,0.8,2.73,0.609414
2005-04-20,1.1772,0.672529747,0.8,2.65,0.654029
2005-04-21,1.183,0.672529747,0.8,2.59,0.652186
