Date,SMI,SP500,USD_CHF,CH_infl,US_infl,Shadow,BondUS,BondCH
2003-09-17,5398.899902,1025.97,1.3807,0.143,0.325027086,0.86,0.958,0.18
2003-09-22,5257.200195,1022.82,1.3528,0.51,-0.107991361,0.86,0.958,0.17
2003-09-29,5102.299805,1006.58,1.3236,0.51,-0.107991361,0.86,0.953,0.19
2003-10-06,5161.5,1034.35,1.3194,0.51,-0.107991361,0.86,0.917,0.18
2003-10-13,5272.799805,1045.35,1.3228,-0.132,-0.27027027,0.83,0.907,0.17
2003-10-20,5266.600098,1044.68,1.332,-0.132,-0.27027027,0.83,0.948,0.18
2003-10-27,5157.600098,1031.13,1.3179,-0.132,-0.27027027,0.83,0.968,0.09
2003-11-03,5319.600098,1059.02,1.3598,-0.132,-0.27027027,0.83,0.932,0.17
2003-11-10,5242.200195,1047.11,1.3741,-0.132,-0.27027027,0.83,0.958,0.19
2003-11-17,5274.700195,1043.63,1.3252,0.02,-0.108401084,0.87,0.938,0.17
2003-11-24,5304.600098,1052.08,1.3185,0.02,-0.108401084,0.87,0.958,0.18
2003-12-01,5374.899902,1070.12,1.2981,0.02,-0.108401084,0.87,0.948,0.2
2003-12-08,5360.0,1069.3,1.2674,0.02,-0.108401084,0.87,0.932,0.19
2003-12-15,5427.100098,1068.04,1.2605,-0.335,0.488334238,0.74,0.907,0.2
2003-12-22,5387.799805,1092.94,1.2575,-0.335,0.488334238,0.74,0.897,0.14
2003-12-29,5445.200195,1109.48,1.2496,-0.335,0.488334238,0.74,0.886,0.19
2004-01-05,5582.700195,1122.22,1.232,-0.335,0.488334238,0.74,0.917,0.2
2004-01-12,5507.700195,1127.23,1.2277,-0.335,0.488334238,0.74,0.861,0.14
2004-01-20,5665.5,1138.77,1.2457,0.02,0.539956803,0.75,0.866,0.16
2004-01-26,5748.5,1155.37,1.255,0.02,0.539956803,0.75,0.879,0.15
2004-02-02,5788.299805,1135.26,1.261,0.02,0.539956803,0.75,0.907,0.14
2004-02-09,5869.799805,1139.81,1.2354,0.02,0.539956803,0.75,0.927,0.15
2004-02-17,5871.700195,1156.99,1.2255,0.214,0.644468314,0.75,0.917,0.17
2004-02-23,5880.200195,1140.99,1.2551,0.214,0.644468314,0.75,0.937,0.2
2004-03-01,5830.700195,1155.96,1.2684,0.214,0.644468314,0.75,0.948,0.18
2004-03-08,5884.5,1147.21,1.2718,0.214,0.644468314,0.75,0.948,0.17
2004-03-15,5620.299805,1104.49,1.2743,0.844,0.320170758,0.91,0.948,0.22
2004-03-22,5469.0,1095.4,1.2567,0.844,0.320170758,0.91,0.937,0.18
2004-03-29,5644.200195,1122.47,1.2836,0.844,0.320170758,0.91,0.932,0.22
2004-04-05,5815.299805,1150.57,1.3045,0.844,0.320170758,0.91,0.927,0.21
